เพศ,อายุ,ชั้นปีที่,สำนักวิชา,ความต้องการหรือสนใจเครื่องดื่มอร่อยและดีต่อสุขภาพ,ราคาของเครื่องดื่มที่คิดว่าเหมาะสม,ประเภทเมนูที่ชอบดื่ม,ระดับความหวานที่ชอบดื่ม,ความถี่ในการดื่มเครื่องดื่มที่ไม่ใช่น้ำเปล่า (กี่วัน/สัปดาห์)
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานน้อย,3
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,5
หญิง,21,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,อิตาเลียนโซดา,หวานน้อย,7
หญิง,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,4
ชาย,18,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,3
ชาย,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,4
หญิง,22,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,3
หญิง,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ไม่ต้องการ/ไม่สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,7
ชาย,20,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานน้อย,5
หญิง,18,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานน้อย,4
หญิง,20,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ไม่ต้องการ/ไม่สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,4
ชาย,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,ไม่หวาน,3
หญิง,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,3
ชาย,18,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,กาแฟ,หวานปกติ,4
ชาย,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,51-60,กาแฟ,หวานน้อย,2
ชาย,20,1,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,1
ชาย,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,กาแฟ,ไม่หวาน,1
หญิง,20,3,สำนักวิชาวิทยาศาตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,3
ชาย,19,1,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,41-50,กาแฟ,หวานน้อย,4
ชาย,19,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,กาแฟ,หวานปกติ,5
ชาย,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,3
ชาย,19,1,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,4
หญิง,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,41-50,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,2
หญิง,21,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,41-50,อิตาเลียนโซดา,หวานปกติ,2
ชาย,19,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,5
หญิง,21,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,51-60,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,3
หญิง,20,2,สำนักวิชาวิศวกรรมศาสตร์,ไม่ต้องการ/ไม่สนใจ,30-40,กาแฟ,หวานน้อย,2
ชาย,20,2,สำนักวิชาวิศวกรรมศาสตร์,ไม่ต้องการ/ไม่สนใจ,30-40,กาแฟ,ไม่หวาน,5
ชาย,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,กาแฟ,หวานน้อย,2
ชาย,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,นมสด,หวานปกติ,3
ชาย,19,1,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,51-60,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานมาก,3
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,51-60,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,3
หญิง,19,1,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,41-50,นมสด,หวานปกติ,2
หญิง,22,3,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,3
หญิง,22,3,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,4
ชาย,23,4,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานน้อย,4
ชาย,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,5
หญิง,20,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,กาแฟ,หวานน้อย,1
หญิง,20,2,สำนักวิชาสาธรณสุขศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,7
หญิง,18,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,4
ชาย,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,7
หญิง,20,2,สำนักวิชาวิศวกรรมศาสตร์,ไม่ต้องการ/ไม่สนใจ,30-40,น้ำผัก/ผลไม้,หวานน้อย,2
หญิง,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,กาแฟ,หวานปกติ,5
หญิง,20,2,สำนักวิชาวิศวกรรมศาสตร์,ไม่ต้องการ/ไม่สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,3
หญิง,20,2,สำนักวิชาสาธรณสุขศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,3
หญิง,21,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,7
หญิง,20,2,สำนักวิชาแพทยศาสตร์,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,5
หญิง,21,4,สำนักวิชาพยาบาลศาสตร์,ต้องการ/สนใจ,30-40,น้ำผัก/ผลไม้,หวานปกติ,3
ชาย,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,นมสด,หวานปกติ,7
หญิง,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,กาแฟ,ไม่หวาน,7
หญิง,21,3,สำนักวิชาทันตแพทยศาสตร์,ต้องการ/สนใจ,41-50,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,7
ชาย,19,2,สำนักวิชาวิศวกรรมศาสตร์,ไม่ต้องการ/ไม่สนใจ,41-50,กาแฟ,หวานปกติ,5
ชาย,21,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,2
หญิง,18,1,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,3
ชาย,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,กาแฟ,หวานน้อย,7
หญิง,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,5
ชาย,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,น้ำผัก/ผลไม้,หวานปกติ,3
หญิง,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,3
หญิง,20,2,สำนักวิชาแพทยศาสตร์,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,ไม่หวาน,1
หญิง,19,3,สำนักวิชาสาธรณสุขศาสตร์,ต้องการ/สนใจ,81-100,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานน้อย,2
หญิง,19,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,3
หญิง,19,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,4
หญิง,23,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,7
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานน้อย,4
หญิง,20,2,สำนักวิชาทันตแพทยศาสตร์,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,7
หญิง,24,4,สำนักวิชาวิทยาศาตร์,ไม่ต้องการ/ไม่สนใจ,51-60,กาแฟ,หวานน้อย,7
หญิง,20,2,สำนักวิชาสาธรณสุขศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,5
หญิง,21,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,ไม่หวาน,7
หญิง,25,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,น้ำผัก/ผลไม้,หวานปกติ,2
ชาย,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,5
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,น้ำผัก/ผลไม้,หวานน้อย,6
ชาย,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,นมสด,หวานน้อย,7
หญิง,20,1,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานน้อย,3
หญิง,22,2,สำนักวิชาเทคโนโลยีสังคม,ต้องการ/สนใจ,51-60,น้ำผัก/ผลไม้,หวานน้อย,7
หญิง,20,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,5
หญิง,21,2,สำนักวิชาวิศวกรรมศาสตร์,ต้องการ/สนใจ,30-40,ชานม/ชาเขียวนม/ชาเย็น/ชาไทย/นมเย็น/โกโก้,หวานปกติ,7
ชาย,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,41-50,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,3
หญิง,20,2,สำนักวิชาศาสตร์และศิลป์ดิจิทัล,ต้องการ/สนใจ,30-40,ชาผลไม้/ชาใส/ชาดอกไม้/ชาแดง,หวานปกติ,2
